Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
231,0.0426475446,0.985952,0.1397247244,0.97606
232,0.0427156152,0.986108,0.1395057815,0.97686
233,0.0422513851,0.986392,0.1390425861,0.97616
234,0.0428934983,0.98594,0.1394154654,0.97602
235,0.0420125609,0.986676,0.1383096107,0.97656
236,0.0427117014,0.985896,0.1387019408,0.97578
237,0.0417094076,0.986504,0.1373578227,0.97736
238,0.0417600236,0.986624,0.1370664938,0.97722
239,0.0415994273,0.986728,0.1368117981,0.97674
240,0.0420887172,0.9861,0.1370401555,0.97662
241,0.0411653777,0.987,0.1359031508,0.97682
242,0.0412669183,0.986812,0.1356826942,0.97716
243,0.040744456,0.986944,0.134973193,0.97672
244,0.0411846264,0.986772,0.1353171293,0.97672
245,0.0407179373,0.9873,0.1344686766,0.97688
246,0.040639035,0.987252,0.1344599623,0.97688
247,0.0403653895,0.987296,0.1338184358,0.9771
248,0.0405456832,0.987108,0.1336375288,0.97708
249,0.0403028931,0.987156,0.1330101774,0.97674
250,0.0401661155,0.987352,0.1325400734,0.97764
251,0.0396021168,0.987648,0.1317714864,0.97734
252,0.0395605298,0.987568,0.1316210509,0.97736
253,0.0394358543,0.98768,0.1311967166,0.97722
254,0.0391571175,0.98796,0.1308294884,0.97726
255,0.0391308332,0.987716,0.1305841327,0.9773
256,0.0389503483,0.987636,0.129971266,0.97756
257,0.0390081853,0.988,0.129829807,0.97774
258,0.0392828587,0.987608,0.129884344,0.97686
259,0.0385542008,0.987892,0.128933092,0.977
260,0.0383122113,0.98864,0.1285250783,0.97786
261,0.0384465897,0.988044,0.1282847873,0.97732
262,0.0383303605,0.987912,0.1277978722,0.97768
263,0.0378255589,0.988404,0.1271086263,0.97828
264,0.038096575,0.988452,0.1271359,0.97748
265,0.0376350639,0.988728,0.1265968129,0.97776
266,0.0373866729,0.988916,0.1261586135,0.97766
267,0.0375472822,0.988612,0.1259773877,0.97758
268,0.0372264333,0.9885,0.1251533599,0.97778
269,0.0369713551,0.989036,0.1245127413,0.97838
270,0.0368740778,0.98892,0.1243908504,0.9782
271,0.0371176866,0.988448,0.1243626362,0.97756
272,0.0362189765,0.989412,0.123090183,0.97824
273,0.0364972665,0.989232,0.123229053,0.97836
274,0.0363054662,0.989244,0.122615292,0.97806
275,0.0362192992,0.989092,0.1222862085,0.97822
276,0.035697105,0.989728,0.1214766142,0.97876
277,0.0355273412,0.989832,0.1211600082,0.97834
278,0.0355403816,0.98944,0.1209043194,0.97826
279,0.0354637527,0.989672,0.1203973644,0.97832
280,0.0354714341,0.98962,0.1202167539,0.97834
281,0.0352689428,0.9896,0.1198486886,0.97848
282,0.0349287339,0.989788,0.1190610314,0.97802
283,0.0346337121,0.990156,0.1184842512,0.9784
284,0.0349458873,0.989788,0.1184009963,0.97834
285,0.0345717575,0.989888,0.1177779256,0.97886
286,0.0343608153,0.99022,0.1172843465,0.97878
287,0.03377574,0.990544,0.1165559232,0.97894
288,0.0336728538,0.990508,0.1159318846,0.97896
289,0.0337787114,0.990504,0.1160186529,0.97854
290,0.0337136719,0.990324,0.1153671116,0.9793
291,0.0334906483,0.99064,0.1149462415,0.97912
292,0.0334111093,0.990308,0.1145057082,0.97822
293,0.0328336675,0.990872,0.113806576,0.97888
294,0.0330420488,0.99068,0.1137960609,0.9789
295,0.0325220185,0.991008,0.1128918828,0.97898
296,0.0326074753,0.99076,0.1124994059,0.97878
297,0.0321430347,0.991156,0.1118012541,0.97924
298,0.0323943977,0.9909,0.1119505482,0.97864
299,0.031959225,0.991344,0.1110398227,0.97888
300,0.0315241457,0.99162,0.1102939565,0.97918
301,0.0317439093,0.991456,0.1098886439,0.97962
302,0.031241461,0.991784,0.1092692304,0.97968
303,0.030939722,0.991844,0.1086552144,0.97948
304,0.0307765856,0.991656,0.1081860035,0.9795
305,0.0307276243,0.99188,0.1078977177,0.97948
306,0.0304927672,0.99196,0.1071369324,0.97958
307,0.0303168144,0.992028,0.1067083357,0.97982
308,0.0301414127,0.991988,0.1062008322,0.9799
309,0.0299127566,0.992188,0.1055828242,0.98
310,0.0301108745,0.99228,0.1054310032,0.97978
311,0.0295718674,0.992344,0.1046700713,0.97962
312,0.0296224213,0.992256,0.1043919426,0.97954
313,0.0290376375,0.992532,0.1035223913,0.97948
314,0.0287641957,0.992904,0.102630235,0.98044
315,0.0288285226,0.992732,0.1022762481,0.97994
316,0.0284552332,0.993,0.1018138803,0.97972
317,0.0282307153,0.99296,0.1010479138,0.98004
318,0.0280562461,0.99296,0.1005509579,0.98016
319,0.0279533113,0.992996,0.0999175143,0.98028
320,0.0276930766,0.993116,0.0994055048,0.98052
321,0.0273513902,0.993388,0.0987275366,0.9808
322,0.0273391506,0.993248,0.0983616339,0.98042
323,0.0270901457,0.993328,0.097622519,0.98056
324,0.0268458028,0.993568,0.0971206896,0.9802
325,0.0266044813,0.99368,0.0964891731,0.98056
326,0.0263050474,0.993812,0.0957975125,0.9805
327,0.0260304063,0.993884,0.0951410889,0.98064
328,0.0260561998,0.99386,0.0948792604,0.98032
329,0.0258088163,0.993868,0.094051534,0.98078
330,0.0256047591,0.993904,0.0933815505,0.98064
331,0.0255597689,0.994084,0.0929751832,0.981
332,0.0250948099,0.994088,0.0921885234,0.9806
333,0.0250847336,0.99406,0.0916592485,0.98074
334,0.0244962821,0.994576,0.0906324246,0.98066
335,0.0246062196,0.994504,0.0903077183,0.9809
336,0.0241043282,0.99456,0.0894141217,0.98078
337,0.0238577356,0.994508,0.0887051823,0.98074
338,0.0237776112,0.99458,0.0881336866,0.98112
339,0.0234688878,0.994876,0.0874140457,0.9808
340,0.023186958,0.99476,0.0866794557,0.98094
341,0.0229691598,0.994848,0.0859617659,0.98096
342,0.0227314887,0.99498,0.0851713751,0.98132
343,0.0225915822,0.995008,0.0844813505,0.98144
344,0.0222206569,0.995148,0.0836968129,0.98144
345,0.0219515687,0.995212,0.082875536,0.98176
346,0.0217805036,0.995296,0.082307466,0.98158
347,0.0213643499,0.995388,0.0813717065,0.98108
348,0.0212533913,0.995412,0.0809080462,0.98144
349,0.0209178101,0.995604,0.0798910816,0.9816
350,0.0207235147,0.995556,0.0791760274,0.98088
351,0.0204175802,0.99566,0.0784240325,0.9817
352,0.0201369742,0.995844,0.0775932912,0.98162
353,0.0198832349,0.995836,0.0768103232,0.98164
354,0.0196810175,0.995868,0.0760208776,0.98162
355,0.0193031017,0.996068,0.07509037,0.98144
356,0.018989366,0.996012,0.0741181768,0.9817
357,0.018699925,0.99616,0.0733712869,0.98168
358,0.0184302361,0.99616,0.0723976667,0.9819
359,0.0181338196,0.996276,0.0715534427,0.9819
360,0.0179299106,0.996272,0.0708184739,0.9816
361,0.0174718259,0.996352,0.0696762134,0.98172
362,0.0174604354,0.996384,0.0691224145,0.98168
363,0.0169364686,0.996368,0.0678072664,0.98198
364,0.0167129418,0.996576,0.0670535927,0.98182
365,0.0164537158,0.996688,0.0661418122,0.9819
366,0.0160223676,0.99666,0.0648259571,0.98248
367,0.0158508641,0.996712,0.064154924,0.98164
368,0.0156062757,0.996796,0.063221596,0.98188
369,0.0152062321,0.996876,0.0621327897,0.98142
370,0.0149432343,0.996904,0.0609812093,0.98202
371,0.0145983966,0.996968,0.0599473151,0.98198
372,0.0141401711,0.99708,0.0587289543,0.98236
373,0.0138328943,0.997136,0.0578046808,0.98194
374,0.0135194577,0.997168,0.0565500904,0.98202
375,0.013207761,0.997152,0.0552878491,0.9826
376,0.0128538769,0.99724,0.0543977931,0.98228
377,0.0124720294,0.99726,0.0530580955,0.98224
378,0.012159465,0.997292,0.0517829228,0.98232
379,0.0118808242,0.997348,0.0507416471,0.98176
380,0.0114959594,0.997444,0.0494147809,0.98198
381,0.0111823108,0.99746,0.048215521,0.98232
382,0.0108221104,0.997508,0.0470631273,0.98198
383,0.0102954166,0.997552,0.0455028207,0.98228
384,0.009911669,0.997608,0.0440697208,0.9823
385,0.0095187267,0.9976,0.0427753513,0.98232
386,0.0091885779,0.997704,0.0413360353,0.9823
387,0.0087927573,0.997656,0.0398640054,0.98258
388,0.0083675506,0.99774,0.038379328,0.98238
389,0.0079210318,0.997728,0.0367014907,0.98276
390,0.0075916784,0.997784,0.0354477176,0.98232
391,0.0070736608,0.997848,0.0336621286,0.98274
392,0.0066235244,0.997872,0.0319156232,0.9827
393,0.0062363259,0.997916,0.0304689218,0.9823
394,0.0058587126,0.997948,0.0288508383,0.98264
395,0.0053082566,0.997964,0.0268062393,0.98282
396,0.0048925736,0.99798,0.0251230625,0.98238
397,0.0044144163,0.997988,0.0232529809,0.98248
398,0.0039346346,0.998036,0.0212169207,0.98268
399,0.0033608453,0.998068,0.0191574799,0.98266
