Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
256,0.0010456768,0.99848,0.0183004743,0.9812
257,0.0010437873,0.99848,0.0182933198,0.9813
258,0.0010422304,0.99848,0.0183232747,0.98124
259,0.0010401674,0.99848,0.0183030053,0.98138
260,0.001038738,0.99848,0.0183182817,0.9814
261,0.0010370016,0.99848,0.0182909519,0.98142
262,0.0010351935,0.99848,0.0183172431,0.98142
263,0.0010339291,0.998484,0.0183076081,0.98136
264,0.0010325232,0.998484,0.018317335,0.98144
265,0.0010306764,0.998484,0.0183221014,0.98134
266,0.0010296213,0.998492,0.0183085244,0.9813
267,0.0010276702,0.998496,0.018318355,0.98134
268,0.0010256166,0.998496,0.0183067613,0.98144
269,0.0010244357,0.9985,0.0183475336,0.98126
270,0.0010233657,0.9985,0.0183080486,0.98136
271,0.0010215845,0.9985,0.0183314425,0.98134
272,0.0010203015,0.998508,0.0183329617,0.98142
273,0.0010178822,0.998504,0.0183365144,0.98128
274,0.0010161896,0.998508,0.0183322654,0.98128
275,0.0010128857,0.998508,0.0183227352,0.98142
276,0.0010113671,0.998508,0.0183246732,0.98134
277,0.0010100182,0.998508,0.0183269329,0.9813
278,0.0010090478,0.998508,0.018328951,0.9813
279,0.0010076645,0.998516,0.0183504414,0.9815
280,0.0010061361,0.998516,0.018348965,0.9814
281,0.0010045856,0.99852,0.0183401134,0.98138
282,0.0010032743,0.99852,0.0183440061,0.98142
283,0.0010009588,0.99852,0.0183345164,0.98136
284,0.0009989118,0.998524,0.0183556356,0.9813
285,0.0009977325,0.998524,0.0183390183,0.98136
286,0.0009961341,0.998528,0.0183438087,0.98126
287,0.0009956196,0.998532,0.0183512905,0.9815
288,0.0009941512,0.998528,0.0183361494,0.98144
289,0.000992538,0.998528,0.0183724817,0.98144
290,0.0009912189,0.998532,0.0183466177,0.98134
291,0.0009899412,0.998532,0.018359252,0.98144
292,0.0009887675,0.998532,0.0183665156,0.98136
293,0.0009878974,0.998532,0.0183738608,0.98122
294,0.0009866699,0.998532,0.0183592163,0.9813
295,0.000985822,0.998532,0.0183701385,0.98136
296,0.0009848267,0.998532,0.0183696303,0.98132
297,0.0009842685,0.998532,0.0183729711,0.98124
298,0.0009833987,0.998532,0.0184021189,0.98122
299,0.0009824547,0.998532,0.0183775089,0.9813
300,0.0009818941,0.998532,0.0183879962,0.98142
301,0.0009805007,0.998532,0.0183963384,0.98122
302,0.0009794272,0.998532,0.0183902595,0.9814
303,0.0009777688,0.998532,0.018402848,0.98134
304,0.0009772231,0.998532,0.0183841521,0.98138
305,0.0009760158,0.998532,0.0183827734,0.98132
306,0.0009752682,0.998532,0.0183969534,0.98126
307,0.0009765872,0.998532,0.0183950814,0.98126
308,0.0009739351,0.998532,0.0184036011,0.98124
309,0.0009732459,0.998532,0.0184161276,0.98124
310,0.0009724035,0.998532,0.0183858707,0.9814
311,0.0009719959,0.998532,0.0184009342,0.98128
312,0.0009713854,0.998532,0.0184057305,0.98126
313,0.0009708154,0.998532,0.0184036634,0.9813
314,0.0009699717,0.998532,0.0184024694,0.98134
315,0.000969398,0.998532,0.0184053812,0.98134
316,0.000968777,0.998532,0.0184118892,0.98136
317,0.000968045,0.998532,0.0184018557,0.9813
318,0.0009677493,0.998536,0.0184183421,0.98122
319,0.0009670371,0.998536,0.0184223598,0.9812
320,0.0009664661,0.998536,0.0184250224,0.9813
321,0.0009658199,0.998536,0.0184075457,0.9813
322,0.0009653374,0.998536,0.0184091478,0.98132
323,0.0009647053,0.998536,0.0184200103,0.98124
324,0.0009640779,0.998536,0.0184126446,0.98124
325,0.0009630696,0.998536,0.0184117463,0.98124
326,0.0009620769,0.99854,0.0184149056,0.98126
327,0.0009607067,0.99854,0.0184114176,0.98142
328,0.0009599522,0.99854,0.0184276983,0.98132
329,0.0009589695,0.99854,0.0184356618,0.98118
330,0.0009584402,0.99854,0.0184329428,0.98124
331,0.0009578125,0.99854,0.0184303268,0.98118
332,0.0009576079,0.99854,0.0184278556,0.9813
333,0.000957002,0.99854,0.0184279045,0.9813
334,0.0009563028,0.99854,0.0184364046,0.98128
335,0.0009556492,0.99854,0.0184363409,0.98124
336,0.0009549735,0.99854,0.018439978,0.9812
337,0.0009543198,0.99854,0.0184495013,0.98128
338,0.0009538113,0.99854,0.01844592,0.98126
339,0.000953063,0.99854,0.0184457007,0.9813
340,0.0009525778,0.99854,0.0184470199,0.98122
341,0.0009521578,0.99854,0.0184452025,0.98132
342,0.0009512689,0.99854,0.0184476631,0.98126
343,0.0009508071,0.99854,0.0184549026,0.98124
344,0.0009503659,0.99854,0.018454491,0.9812
